0.000000000000000000e+00 1.927981212350121965e+01
1.000000000000000056e-01 7.357964562366301031e+00
2.000000000000000111e-01 4.975819754674661866e+00
3.000000000000000444e-01 3.119764160584582058e+00
4.000000000000000222e-01 2.210411142061305512e+00
5.000000000000000000e-01 1.544888058565906830e+00
6.000000000000000888e-01 1.180184113450137184e+00
7.000000000000000666e-01 7.587198228050442417e-01
8.000000000000000444e-01 6.866956038604716817e-01
9.000000000000000222e-01 2.089476936824887316e-28
